Hero Damage,Damage Taken,Teamfight Participation,Turret Damage,Performance,Role,Role Id,Analysis
16,14,47,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push"
21,19,50,56,Good,Jungler,1,"Permainan sangat baik, pertahankan permainanmu karena sudah bagus"
21,10,33,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push, jangan fokus war komunikasikan dengan tim mu"
32,24,67,21,Bad,Jungler,1,"Tingkatkan lagi objektif, untuk rotasi sangat baik, perhatikan posisi saat war"
22,20,65,13,Bad,Jungler,1,"Permainan kurag baik, tingkatkan lagi objektif turret, untuk rotasi sudah baik, namun perhatikan posisi saat memasuki war agar tidak terpick off duluan"
24,11,0,58,Bad,Jungler,1,"Permainan buruk, objektif sudah sangat baik karena hal utama, namun jangan melupakan rotasi untuk membantu sisi samping"
28,15,63,66,Good,Jungler,1,"Permainan sangat baik, pertahankan permainanmu karena sudah bagus"
26,10,68,4,Bad,Jungler,1,"Permainan cukup baik, rotasi sudah sangat baik untuk membantu, fokus objektif terlebih dahulu, karena objektif sangat kurang"
28,11,57,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push, jangan fokus war komunikasikan dengan tim mu"
14,15,100,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push"
21,14,66,35,Good,Jungler,1,"Permainan cukup baik, tingkatkan lagi objektif turret,  rotasi sangat baik untuk membantu tim"
20,14,76,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push"
19,19,47,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push"
33,14,61,27,Bad,Jungler,1,"Rotasi sudah sangat baik, namun tingkatkan lagi objektif turret terutama untuk daerah mid"
21,18,50,20,Bad,Jungler,1,"Permainan kurang baik, tingkatkan lagi untuk objektif turret, jangan fokus untuk meningkatkan kill, untuk rotasi sudah bagus"
29,20,0,0,Bad,Jungler,1,"Permainan sangat buruk, lakukan rotasi dan objektif turret jangan fokus kill karena objektif adalah hal utama"
33,14,61,14,Bad,Jungler,1,"Permainan kurang baik, tingkatkan lagi untuk objektif turret, jangan fokus untuk meningkatkan kill, untuk rotasi sudah bagus"
19,13,75,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push"
27,7,70,28,Bad,Jungler,1,"Permainan cukup baik, rotasi dan posisi sangat baik saat fight maupun team fight, tapi tingkatkan lagi rotasi karena objektif utama"
18,13,54,19,Bad,Jungler,1,"Rotasi sudah baik, namun kurang objektif turret, perhatikan posisi saat fight"
17,6,60,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push"
17,15,56,54,Good,Jungler,1,"Permainan sangat baik, pertahankan permainanmu karena sudah bagus"
22,13,77,47,Good,Jungler,1,"Permainan sangat baik, pertahankan permainanmu karena sudah bagus"
17,14,62,46,Good,Jungler,1,"Permainan sangat baik, Jangan khawatir jika mendapat kill sedikit utamakan objektif, posisi sudah baik saat war"
14,12,59,20,Bad,Jungler,1,"Permainan kurang baik, tingkatkan lagi untuk objektif turret, jangan fokus untuk meningkatkan kill, untuk rotasi dan posisi sudah bagus"
25,12,59,32,Bad,Jungler,1,"Permainan kurang baik, tingkatkan lagi untuk objektif turret, jangan fokus untuk meningkatkan kill, untuk rotasi dan posisi sudah bagus"
19,17,67,38,Good,Jungler,1,"Permainan cukup baik, objektif turret  sukup baik,  rotasi sangat baik untuk membantu tim, perhatikan posisi saat war"
25,13,63,52,Good,Jungler,1,"Permainan sangat baik, pertahankan permainanmu karena sudah bagus"
17,16,87,66,Good,Jungler,1,"Permainan sangat baik, Jangan khawatir jika mendapat kill sedikit utamakan objektif, posisi sudah baik saat war"
24,25,75,0,Bad,Jungler,1,"Rotasi sudah baik, namun objektif turret tidak ada, perhatikan posisi saat fight agar tidak sering terpick off, jangan fokus mencari kill karena objektif adalah utama"
27,12,53,24,Bad,Jungler,1,"Permainan kurang baik, tingkatkan lagi untuk objektif turret, jangan fokus untuk meningkatkan kill, untuk rotasi dan posisi sudah bagus"
31,17,63,2,Bad,Jungler,1,"Rotasi sudah baik, namun kurang objektif turret, perhatikan posisi saat fight, jangan fokus mencari kill karena objektif adalah utama"
20,14,67,0,Bad,Jungler,1,"Rotasi sudah baik, namun kurang objektif turret, perhatikan posisi saat fight, jangan fokus mencari kill karena objektif adalah utama"
29,17,65,33,Bad,Jungler,1,"Rotasi sudah baik, namun kurang objektif turret, perhatikan posisi saat fight agar tidak terpick off duluan, jangan fokus mencari kill karena objektif adalah utama"
21,18,73,0,Bad,Jungler,1,"Rotasi sanagat baik, namun objektif turret sangat kurang, jangan fokus mencari kill karena objektif adalah utama"
34,13,74,49,Good,Jungler,1,"tingkatkan lagi objektif turret, untuk rotasi sudah baik, kill memang diperlukan namun bukan hal yang utama"
19,14,53,14,Bad,Jungler,1,"Rotasi sudah baik, namun kurang objektif turret, posisi saat fight sudah baik, jangan fokus mencari kill karena objektif adalah utama"
28,8,63,63,Good,Jungler,1,"Permainan sangat baik, Jangan khawatir jika mendapat kill sedikit utamakan objektif, posisi sudah baik saat war"
23,14,58,38,Good,Jungler,1,"Permainan cukup baik, tingkatkan lagi objektif turret,  rotasi sangat baik untuk membantu tim"
25,11,55,20,Bad,Jungler,1,"Permainan kurang baik, tingkatkan lagi untuk objektif turret, jangan fokus untuk meningkatkan kill, untuk rotasi dan posisi sudah bagus"
26,12,43,21,Bad,Jungler,1,"Permainan kurang baik, tingkatkan lagi untuk objektif turret, jangan fokus untuk meningkatkan kill, untuk rotasi dan posisi sudah bagus"
33,16,68,14,Bad,Jungler,1,"Rotasi sudah baik, namun kurang objektif turret, perhatikan posisi saat fight, jangan fokus mencari kill karena objektif adalah utama"
29,24,71,0,Bad,Jungler,1,"Rotasi sudah baik, namun kurang objektif turret, perhatikan posisi saat fight agar tidak terpick off duluan, jangan fokus mencari kill karena objektif adalah utama"
31,12,67,31,Bad,Jungler,1,"Rotasi sudah baik, namun kurang objektif turret, perhatikan posisi saat fight agar tidak terpick off duluan, jangan fokus mencari kill karena objektif adalah utama"
23,18,60,34,Good,Jungler,1,"Permainan cukup baik, tingkatkan lagi objektif turret,  rotasi sangat baik untuk membantu tim"
20,11,37,24,Good,Jungler,1,"Permainan cukup baik, tingkatkan lagi objektif turret,  rotasi sangat baik untuk membantu tim"
20,12,63,24,Bad,Jungler,1,"Rotasi sudah baik, namun kurang objektif turret, perhatikan posisi saat fight agar tidak terpick off duluan, jangan fokus mencari kill karena objektif adalah utama"
27,18,63,53,Good,Jungler,1,"Permainan sangat baik, Jangan khawatir jika mendapat kill sedikit utamakan objektif, posisi sudah baik saat war, objektif yang baik pada match ini"
20,14,44,31,Good,Jungler,1,"Permainan sangat baik, Jangan khawatir jika mendapat kill sedikit utamakan objektif, posisi sudah baik saat war"
33,18,81,5,Bad,Jungler,1,"Rotasi sudah baik, namun kurang objektif turret, perhatikan posisi saat fight agar tidak terpick off duluan, jangan fokus mencari kill karena objektif adalah utama"
15,19,30,0,Bad,Jungler,1,"Permainan sangat buruk,rotasi kurang baik,  kurang objektif turret, perhatikan posisi saat fight agar tidak terpick off duluan"
23,24,67,31,Bad,Jungler,1,"Permainan kurang baik, perhatikan posisi saat war karena sering terpick off, untuk rotasi sudah baik, namun jangan over commit"
31,22,75,0,Bad,Jungler,1,"Permainan kurang baik, tidak ada objektif turret, perhatikan posisi saat memasuki pertempuran sehingga terlalu sering terpick off"
15,21,20,0,Bad,Jungler,1,"Permainan kurang baik, tidak ada objektif turret, perhatikan posisi saat memasuki pertempuran sehingga terlalu sering terpick off, jangan fokus untuk mencari kill karena objektif adalah utama"
20,16,42,51,Good,Jungler,1,"Permainan sangat baik, Jangan khawatir jika mendapat kill sedikit utamakan objektif, posisi sudah baik saat war"
21,12,54,4,Bad,Jungler,1,"Rotasi sudah baik, namun kurang objektif turret, perhatikan posisi saat fight agar tidak terpick off duluan, jangan fokus mencari kill karena objektif adalah utama"
29,14,82,59,Good,Jungler,1,"Permainan sangat baik, pertahankan permainanmu karena sudah bagus, jangan khawatir jika kill sedikit karena fokus objektif adalah utama"
20,11,23,20,Good,Jungler,1,"Permainan cukup baik, pertahankan permainanmu, statistik sangat baik untuk KDA"
13,8,41,67,Good,Jungler,1,"Permainan sangat baik, pertahankan permainanmu karena sudah bagus, jangan khawatir jika kill sedikit karena fokus objektif adalah utama"
33,11,88,40,Bad,Jungler,1,"Tingkatkan lagi objektif, untuk rotasi sangat baik, jangan terlalu mencari kill walaupun itu dibutuhkan, fokus objektif agar rotasi lebih mudah"
35,11,80,0,Bad,Jungler,1,"Rotasi sudah baik, kurang objektif turret bantu mid agar rotasi mid lebih mudah, jangan terlalu fokus mencari kill fokus untuk objektif"
23,10,33,25,Good,Jungler,1,"Permainan cukup baik, tingkatkan lagi objektif turret,  rotasi sangat baik untuk membantu tim"
14,13,38,0,Bad,Jungler,1,"Tidak ada objektif turret, tingkatkan lagi rotasi untuk membantu sisi samping, bantu damage ke hero lawan sehingga memudahkan rotasi tim, untuk posisi sudah baik pertahankan"
34,14,68,18,Bad,Jungler,1,"Tingkatkan lagi objektif, untuk rotasi sangat baik, jangan terlalu mencari kill walaupun itu dibutuhkan, fokus objektif agar rotasi lebih mudah"
23,10,71,0,Bad,Jungler,1,"Rotasi sudah baik, kurang objektif turret bantu mid agar rotasi mid lebih mudah, jangan terlalu fokus mencari kill fokus untuk objektif"
23,22,54,18,Bad,Jungler,1,"partisipasi teamfight yang cukup besar, damage yang diberikan kepada lawan juga cukup besar tapi makro yang kurang maksimal"
19,25,13,0,Bad,Gold,2,"Permainan Buruk, perhatikan map dan komunikasikan dengan tim agar tidak tergena ganking, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima"
26,20,50,25,Bad,Gold,2,"Permainan cukup baik, namun jangan melupakan objektif, jaga posisi dan jangan over commit"
17,19,33,11,Bad,Gold,2,"terlalu sering mengikuti war, komunikasikan dengan tim agar mengikuti war dengan maksimal, fokus untuk objektif terleboh dahulu"
41,18,58,55,Good,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
23,12,39,49,Good,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
32,18,58,6,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
12,17,50,16,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
26,16,57,49,Good,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
14,17,24,0,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
8,18,50,0,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
29,8,53,39,Good,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
24,13,53,91,Good,Gold,2,"permainan yang baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
22,24,61,32,Bad,Gold,2,"permainan cukup baik, namun terlalu sering terpick off, jaga posisi dan perhatikan map agar tidak terkena ganking, tingkatkan lagi untuk objektif ke turret"
17,12,27,33,Good,Gold,2,"permainan cukup baik, perbaiki rotasi unttuk membantu tim jika item dan posisi memungkinkan, tapi tetap objektif terleboh dahulu"
16,21,44,14,Bad,Gold,2,"terlalu sering mengikuti war, komunikasikan dengan tim agar mengikuti war dengan maksimal, fokus untuk objektif terleboh dahulu"
27,18,25,44,Bad,Gold,2,"Objektif sudah baik, hanya perlu meningkatkan partisipasi saat war, lakukan rotasi jika dibutuhkan dan item sudah mumpuni"
16,24,0,0,Bad,Gold,2,"Permainan sangat buruk, terlalu sering terpick off, fokus untuk menjadikan item terlebih dahulu, komunikasikan dengan tim agar tidak terkena ganking"
21,18,75,0,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
27,19,33,11,Bad,Gold,2,"permainan cukup baik, rotasi dan damage kepada hero sudah bagus, tetapi tingkatkan lagi untuk objektif turret"
16,23,46,31,Good,Gold,2,"permainan sangat baik, rotasi sudah bagus, objektif juga maksimal, namun jangan sering terpick off jaga posisi, karena gold lane merupakan salah satu damage utama"
15,19,29,28,Good,Gold,2,"permainan sangat baik, rotasi sudah bagus, objektif juga maksimal, namun jangan sering terpick off jaga posisi, karena gold lane merupakan salah satu damage utama"
29,14,44,100,Normal,Gold,2,"Permainan sudah baik, objektif sangat maksimal, hanya perlu meningkatkan lagi rotasi untuk mengikuti war"
40,15,80,0,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
12,21,24,6,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
25,18,37,28,Good,Gold,2,"permainan sangat baik, rotasi sudah bagus, objektif juga maksimal, namun jangan sering terpick off jaga posisi, karena gold lane merupakan salah satu damage utama"
31,16,50,0,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan lebih baik push turret, fokus menjadikan item terlebih dahulu"
14,17,13,48,Bad,Gold,2,"Objektif sudah baik, hanya perlu meningkatkan partisipasi saat war, lakukan rotasi jika dibutuhkan dan item sudah mumpuni"
15,10,18,0,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
17,16,37,42,Good,Gold,2,"permainan yang baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
31,20,67,25,Bad,Gold,2,"tingkatkan lagi untuk objektif turret, jika item sudah jadi jangan hanya mencari kill karena objektif nomer satu"
8,14,27,32,Good,Gold,2,"permainan yang baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik, jika sudah memiliki item yang mendukung, bantu memberikan damage kepada hero lawan"
21,18,32,0,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
24,14,47,65,Good,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
17,10,0,0,Bad,Gold,2,"Permainan sangat buruk, terlalu sering terpick off, fokus untuk menjadikan item terlebih dahulu, komunikasikan dengan tim agar tidak terkena ganking"
20,10,40,24,Good,Gold,2,"Permainan sudah baik, tingkatkan lagi objektif turret , untuk rotasi sudah bagus"
22,20,20,100,Bad,Gold,2,"Objektif sudah baik, hanya perlu meningkatkan partisipasi saat war, lakukan rotasi jika dibutuhkan dan item sudah mumpuni"
21,29,42,37,Good,Gold,2,"Permainan cukup baik, rotasi sudah bagus, namun perhatikan posisi agar tidak sering terpick off, tingkatkan lagi objektif turret"
25,36,49,6,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
19,14,42,50,Good,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
20,17,45,35,Good,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
20,14,39,53,Good,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
13,15,44,37,Good,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
15,10,62,49,Good,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
24,23,48,30,Bad,Gold,2,"tingkatkan lagi untuk objektif turret, jika item sudah jadi jangan hanya mencari kill karena objektif nomer satu"
20,11,35,36,Good,Gold,2,"Permainan yang bagus, pertahankan permainan mu, objektif dan rotasi sudah baik"
21,14,30,48,Good,Gold,2,"Permainan yang bagus, pertahankan permainan mu, objektif dan rotasi sudah baik"
26,21,58,48,Good,Gold,2,"Permainan sudah bagus, hanya perlu memperhatikan map dan posisi agar tidak sering terpick off oleh lawan"
22,22,37,36,Good,Gold,2,"Permainan sudah bagus, hanya perlu memperhatikan map dan posisi agar tidak sering terpick off oleh lawan"
26,29,31,16,Bad,Gold,2,"terlalu sering mengikuti war, komunikasikan dengan tim agar mengikuti war dengan maksimal, fokus untuk objektif terleboh dahulu"
23,12,53,43,Good,Gold,2,"Permainan yang bagus, pertahankan permainan mu, objektif dan rotasi sudah baik"
15,21,30,100,Bad,Gold,2,"Objektif sudah baik, hanya perlu meningkatkan partisipasi saat war, lakukan rotasi jika dibutuhkan dan item sudah mumpuni"
10,20,42,26,Good,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
38,14,63,100,Good,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
19,16,83,67,Good,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik"
19,31,33,15,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
28,20,38,0,Bad,Gold,2,"Permainan Buruk, terlalu sering terpick off, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
16,11,41,0,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
19,22,44,17,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
28,24,55,6,Bad,Gold,2,"Permainan Buruk, fokus untuk clear minion dahulu usahakan jangan tertinggal terutama dibawah menit lima, jangan memaksa rotasi  jika tidak dibutuhkan, fokus menjadikan item terlebih dahulu"
17,24,53,34,Good,Gold,2,"Permainan yang bagus, objektif dan rotasi sudah baik, hanya perlu memperhatikan map dan posisi agar tidak terpick off oleh lawan"
20,18,40,100,Normal,Gold,2,"permainan sangat baik terus tingkatkan kemampuanmu, partisipasi saat war dan objektif sangat baik, tingkatkan lagi rotasi terutama saat sudah memiliki item damage"
23,21,45,35,Good,Gold,2,"Permainan cukup baik, rotasi sudah bagus, namun perhatikan posisi agar tidak sering terpick off, tingkatkan lagi objektif turret"
14,13,46,0,Bad,Gold,2,"terlalu sering mengikuti war, komunikasikan dengan tim agar mengikuti war dengan maksimal, fokus untuk objektif terleboh dahulu"
20,19,46,41,Good,Gold,2,"Permainan yang bagus, pertahankan permainan mu, objektif dan rotasi sudah baik"
24,9,43,37,Good,Gold,2,"Permainan yang bagus, pertahankan permainan mu, objektif dan rotasi sudah baik"
33,23,56,41,Good,Gold,2,"Presentase damage terbesar, menang di lane sendiri, tetapi kurang rotasi sehingga lane lain kalah tidak terbantu."
26,16,54,45,Good,Gold,2,"Permainan bagus, damage ke hero besar, damage ke turret besar, partisipasi tim fight kurang, tingkatkan lagi"
17,32,64,17,Bad,Gold,2,"Permainan bagus, hero kuat dan tahan lama ketika war sehingga memberikan kerugian pada pihak musuh yang skillnya terbuang dan mampu bertahan sampai tim datang."
15,17,60,0,Bad,Gold,2,"Permainan kurang bagus, sibuk di lane sendiri, damage yang diberikan kurang banyak."
19,19,36,59,Good,Gold,2,"Damage yang diberikan ke turret besar, tetapi tidak mampu memprediksi dimana musuh berada sehingga menyebabkan banyak mati dan memberikan banyak gold ke musuh."
13,14,24,38,Good,Gold,2,Kesulitan menjaga lane sendiri sehingga tidak dapat rotasi ke lane lain.
13,21,47,21,Bad,Gold,2,"Damage yang diberikan kecil, lane terjaga tetapi tidak bisa menghancurkan turret musuh."
23,13,46,0,Bad,Gold,2,"Rate turret damage sangat buruk, rate partisipasi war sangat buruk sebagai gold laner."
23,38,66,24,Bad,Exp,3,"perhatikan posisi dan timing saat masuk ke dalam peperangan, jangan terlalu memasang badan jika posisi kalah set up, untuk rotasi sudah baik"
24,26,57,100,Good,Exp,3,"permainan sangat baik, objektif dan rotasi juga baik, pertahankan permainanmu, dan terus kembangkan lagi "
21,26,100,0,Bad,Exp,3,"terlalu sering melakukan war dan tidak fokus terhadap objektif turret, jika kalah laning face maka jangan paksa untuk by one, perhatikan posisi saat masuk kedalam war"
12,18,31,21,Good,Exp,3,"laning face dan rotasi sudah bagus, tingkatkan lagi objektif kepada turret"
15,20,35,5,Bad,Exp,3,"terlalu sering melakukan war dan tidak fokus terhadap objektif turret, jika kalah laning face maka jangan paksa untuk by one, perhatikan posisi saat masuk kedalam war"
23,22,50,37,Good,Exp,3,"Permainan yang baik, rotasi dan objektif sudah baik, terus tingkatkan micro, macro dan mekanik mu"
26,30,48,23,Bad,Exp,3,"rotasi sudah baik namun kurang untuk objektif, komunikasikan dengan tim saat war, perhatikan lawan sebelum memasuki peperangan"
22,28,54,25,Bad,Exp,3,"rotasi sudah baik namun kurang untuk objektif, komunikasikan dengan tim saat war, perhatikan lawan sebelum memasuki peperangan"
11,31,17,9,Bad,Exp,3,"Permainan kurang baik, fokus untuk clear minion kemudian, ikut perang jika dibutuhkan, komunikasikan dengan teman satu tim"
37,26,100,0,Bad,Exp,3,"Permainan kurang baik, fokus untuk clear minion kemudian, ikut perang jika dibutuhkan, komunikasikan dengan teman satu tim"
20,27,0,0,Bad,Exp,3,"Permainan kurang baik, fokus untuk clear minion kemudian, ikut perang jika dibutuhkan, komunikasikan dengan teman satu tim, perhatikan posisi lawan agar tidak sering ter pick off"
15,34,48,29,Bad,Exp,3,"Permainan kurang baik, fokus untuk clear minion kemudian, ikut perang jika dibutuhkan, komunikasikan dengan teman satu tim"
15,34,0,0,Bad,Exp,3,"Permainan kurang baik, fokus untuk clear minion kemudian, ikut perang jika dibutuhkan, komunikasikan dengan teman satu tim"
20,16,54,23,Bad,Exp,3,"Permainan kurang baik, fokus untuk clear minion, tingkatkan lagi untuk push turret ikut perang jika dibutuhkan, komunikasikan dengan teman satu tim"
18,13,56,27,Bad,Exp,3,"Permainan kurang baik, fokus untuk clear minion, tingkatkan lagi untuk push turret ikut perang jika dibutuhkan, komunikasikan dengan teman satu tim"
14,27,65,20,Bad,Exp,3,"Permainan sudah bagus, tingkatkan lagi untuk objektif turret, jangan sering terpick off, perhatikan map dan komikasikan dengan tim"
17,32,54,11,Bad,Exp,3,"Permainan sudah bagus, tingkatkan lagi untuk objektif turret, jangan sering terpick off, perhatikan map dan komikasikan dengan tim"
15,37,38,9,Bad,Exp,3,"Permainan kurang baik, fokus untuk clear minion kemudian, ikut perang jika dibutuhkan, komunikasikan dengan teman satu tim"
15,18,18,26,Bad,Exp,3,"rotasi sudah baik namun kurang untuk objektif, komunikasikan dengan tim saat war, perhatikan lawan sebelum memasuki peperangan"
